"Date","Holiday.Name","Day"
1937-12-27,"Christmas Day (observed)","Monday"
1937-12-28,"Boxing Day (observed)","Tuesday"
1938-01-01,"New Years Day","Saturday"
1938-01-02,"Day after New Years Day","Sunday"
1938-01-03,"New Years Day (observed)","Monday"
1938-01-04,"Day after New Years Day (observed)","Tuesday"
1938-04-15,"Good Friday","Friday"
1938-04-18,"Easter Monday","Monday"
1938-04-25,"Anzac Day","Monday"
1938-06-06,"Kings Birthday","Monday"
1938-10-24,"Labour Day","Monday"
1938-12-25,"Christmas Day","Sunday"
1938-12-26,"Boxing Day","Monday"
1938-12-27,"Christmas Day (observed)","Tuesday"
1939-01-01,"New Years Day","Sunday"
1939-01-02,"Day after New Years Day","Monday"
1939-01-03,"New Years Day (observed)","Tuesday"
1939-04-07,"Good Friday","Friday"
1939-04-10,"Easter Monday","Monday"
1939-04-25,"Anzac Day","Tuesday"
1939-06-05,"Kings Birthday","Monday"
1939-10-23,"Labour Day","Monday"
1939-12-25,"Christmas Day","Monday"
1939-12-26,"Boxing Day","Tuesday"
1940-01-01,"New Years Day","Monday"
1940-01-02,"Day after New Years Day","Tuesday"
1940-03-22,"Good Friday","Friday"
1940-03-25,"Easter Monday","Monday"
1940-04-25,"Anzac Day","Thursday"
1940-06-03,"Kings Birthday","Monday"
1940-10-28,"Labour Day","Monday"
1940-12-25,"Christmas Day","Wednesday"
1940-12-26,"Boxing Day","Thursday"
1941-01-01,"New Years Day","Wednesday"
1941-01-02,"Day after New Years Day","Thursday"
1941-04-11,"Good Friday","Friday"
1941-04-14,"Easter Monday","Monday"
1941-04-25,"Anzac Day","Friday"
1941-06-02,"Kings Birthday","Monday"
1941-10-27,"Labour Day","Monday"
1941-12-25,"Christmas Day","Thursday"
1941-12-26,"Boxing Day","Friday"
1942-01-01,"New Years Day","Thursday"
1942-01-02,"Day after New Years Day","Friday"
1942-04-03,"Good Friday","Friday"
1942-04-06,"Easter Monday","Monday"
1942-04-25,"Anzac Day","Saturday"
1942-06-01,"Kings Birthday","Monday"
1942-10-26,"Labour Day","Monday"
1942-12-25,"Christmas Day","Friday"
1942-12-26,"Boxing Day","Saturday"
1942-12-28,"Boxing Day (observed)","Monday"
1943-01-01,"New Years Day","Friday"
1943-01-02,"Day after New Years Day","Saturday"
1943-01-04,"Day after New Years Day (observed)","Monday"
1943-04-23,"Good Friday","Friday"
1943-04-25,"Anzac Day","Sunday"
1943-04-26,"Easter Monday","Monday"
1943-06-07,"Kings Birthday","Monday"
1943-10-25,"Labour Day","Monday"
1943-12-25,"Christmas Day","Saturday"
1943-12-26,"Boxing Day","Sunday"
1943-12-27,"Christmas Day (observed)","Monday"
1943-12-28,"Boxing Day (observed)","Tuesday"
1944-01-01,"New Years Day","Saturday"
1944-01-02,"Day after New Years Day","Sunday"
1944-01-03,"New Years Day (observed)","Monday"
1944-01-04,"Day after New Years Day (observed)","Tuesday"
1944-04-07,"Good Friday","Friday"
1944-04-10,"Easter Monday","Monday"
1944-04-25,"Anzac Day","Tuesday"
1944-06-05,"Kings Birthday","Monday"
1944-10-23,"Labour Day","Monday"
1944-12-25,"Christmas Day","Monday"
1944-12-26,"Boxing Day","Tuesday"
1945-01-01,"New Years Day","Monday"
1945-01-02,"Day after New Years Day","Tuesday"
1945-03-30,"Good Friday","Friday"
1945-04-02,"Easter Monday","Monday"
1945-04-25,"Anzac Day","Wednesday"
1945-06-04,"Kings Birthday","Monday"
1945-10-22,"Labour Day","Monday"
1945-12-25,"Christmas Day","Tuesday"
1945-12-26,"Boxing Day","Wednesday"
1946-01-01,"New Years Day","Tuesday"
1946-01-02,"Day after New Years Day","Wednesday"
1946-04-19,"Good Friday","Friday"
1946-04-22,"Easter Monday","Monday"
1946-04-25,"Anzac Day","Thursday"
1946-06-03,"Kings Birthday","Monday"
1946-10-28,"Labour Day","Monday"
1946-12-25,"Christmas Day","Wednesday"
1946-12-26,"Boxing Day","Thursday"
1947-01-01,"New Years Day","Wednesday"
1947-01-02,"Day after New Years Day","Thursday"
1947-04-04,"Good Friday","Friday"
1947-04-07,"Easter Monday","Monday"
1947-04-25,"Anzac Day","Friday"
1947-06-02,"Kings Birthday","Monday"
1947-10-27,"Labour Day","Monday"
1947-12-25,"Christmas Day","Thursday"
1947-12-26,"Boxing Day","Friday"
1948-01-01,"New Years Day","Thursday"
1948-01-02,"Day after New Years Day","Friday"
1948-03-26,"Good Friday","Friday"
1948-03-29,"Easter Monday","Monday"
1948-04-25,"Anzac Day","Sunday"
1948-06-07,"Kings Birthday","Monday"
1948-10-25,"Labour Day","Monday"
1948-12-25,"Christmas Day","Saturday"
1948-12-26,"Boxing Day","Sunday"
1948-12-27,"Christmas Day (observed)","Monday"
1948-12-28,"Boxing Day (observed)","Tuesday"
1949-01-01,"New Years Day","Saturday"
1949-01-02,"Day after New Years Day","Sunday"
1949-01-03,"New Years Day (observed)","Monday"
1949-01-04,"Day after New Years Day (observed)","Tuesday"
1949-04-15,"Good Friday","Friday"
1949-04-18,"Easter Monday","Monday"
1949-04-25,"Anzac Day","Monday"
1949-06-06,"Kings Birthday","Monday"
1949-10-24,"Labour Day","Monday"
1949-12-25,"Christmas Day","Sunday"
1949-12-26,"Boxing Day","Monday"
1949-12-27,"Christmas Day (observed)","Tuesday"
1950-01-01,"New Years Day","Sunday"
1950-01-02,"Day after New Years Day","Monday"
1950-01-03,"New Years Day (observed)","Tuesday"
1950-04-07,"Good Friday","Friday"
1950-04-10,"Easter Monday","Monday"
1950-04-25,"Anzac Day","Tuesday"
1950-06-05,"Kings Birthday","Monday"
1950-10-23,"Labour Day","Monday"
1950-12-25,"Christmas Day","Monday"
1950-12-26,"Boxing Day","Tuesday"
1951-01-01,"New Years Day","Monday"
1951-01-02,"Day after New Years Day","Tuesday"
1951-03-23,"Good Friday","Friday"
1951-03-26,"Easter Monday","Monday"
1951-04-25,"Anzac Day","Wednesday"
1951-06-04,"Kings Birthday","Monday"
1951-10-22,"Labour Day","Monday"
1951-12-25,"Christmas Day","Tuesday"
1951-12-26,"Boxing Day","Wednesday"
1952-01-01,"New Years Day","Tuesday"
1952-01-02,"Day after New Years Day","Wednesday"
1952-04-11,"Good Friday","Friday"
1952-04-14,"Easter Monday","Monday"
1952-04-25,"Anzac Day","Friday"
1952-06-02,"Queens Birthday","Monday"
1952-10-27,"Labour Day","Monday"
1952-12-25,"Christmas Day","Thursday"
1952-12-26,"Boxing Day","Friday"
1953-01-01,"New Years Day","Thursday"
1953-01-02,"Day after New Years Day","Friday"
1953-04-03,"Good Friday","Friday"
